_id,Nr_Boczny,Nr_Rej,Brygada,Nazwa_Linii,Ostatnia_Pozycja_Szerokosc,Ostatnia_Pozycja_Dlugosc,Data_Aktualizacji
966,8520,None,13407,124,51.0900764465332,17.0197277069092,2021-12-17 18:06:21
967,8518,None,14802,148,51.1143684387207,16.958215713501,2021-12-17 18:06:08
968,7441,None,14314,143,51.1023941040039,16.9721183776855,2021-12-17 18:06:08
969,7430,None,,None,51.1484985351562,17.0226097106934,2021-05-24 09:41:46
970,8522,None,N01,N,51.0992660522461,17.0335388183594,2021-12-17 18:06:08
971,7423,None,12911,129,51.1093254089355,16.8828678131104,2021-12-17 18:06:17
972,7451,None,,None,51.148193359375,17.0233116149902,2021-12-16 19:06:14
973,7443,None,12704,127,51.1376724243164,16.9649486541748,2021-12-17 18:06:17
974,8523,None,14807,148,51.1451416015625,16.8723888397217,2021-12-17 17:36:47
975,7437,None,12711,127,51.1078605651855,17.0214252471924,2021-12-17 17:38:05
976,7436,None,14311,143,51.0958442687988,16.9770107269287,2021-12-17 18:06:08
977,8533,None,,None,51.1464347839355,17.0226707458496,2021-12-17 17:56:18
978,8525,None,14804,148,51.1120986938477,16.9998016357422,2021-12-17 18:05:58
979,8530,None,D03,D,51.1017608642578,17.0295219421387,2021-12-17 18:06:08
980,7448,None,11609,116,51.1553955078125,17.0642204284668,2021-12-17 18:06:18
981,7428,None,12905,129,51.1261940002441,16.9090194702148,2021-12-17 18:06:09
982,7449,None,N13,N,51.1399574279785,17.083324432373,2021-12-17 17:58:06
983,7432,None,14315,143,51.1255912780762,16.9833488464355,2021-12-17 18:06:06
984,7439,None,14210,142,51.1341934204102,17.0366287231445,2021-12-17 18:00:41
985,7444,None,10405,None,51.1487731933594,17.0228996276855,2021-11-20 17:57:07
986,7447,None,31516,115,51.113712310791,17.1034164428711,2021-12-17 18:06:19
987,8535,None,10203,102,51.1127853393555,17.0205955505371,2021-12-17 18:04:21
988,7450,None,12906,129,51.1684188842773,17.0221176147461,2021-12-17 14:07:28
989,8536,None,C02,C,51.1375312805176,16.9682922363281,2021-12-17 18:02:42
990,8538,None,10601,106,51.1124382019043,16.9934368133545,2021-12-17 18:06:08
991,8534,None,10604,106,51.1125717163086,17.0162696838379,2021-12-17 18:06:18
992,7424,None,15106,151,51.1136054992676,17.0675163269043,2021-12-17 18:06:07
993,7434,None,11510,315,51.109432220459,17.0658378601074,2021-12-17 18:06:10
994,7426,None,10403,104,51.1115608215332,17.021671295166,2021-12-17 18:06:17
995,7446,None,11806,118,51.1429557800293,17.09104347229,2021-12-17 18:06:21
996,7438,None,11601,116,51.1242752075195,17.0781688690186,2021-12-17 18:06:20
997,7440,None,11514,315,51.1140060424805,17.1253681182861,2021-12-17 16:42:32
998,7445,None,31908,319,51.1237564086914,16.9767932891846,2021-12-17 18:05:45
999,8526,None,12107,121,51.146427154541,17.1131134033203,2021-12-17 18:05:59
1000,8537,None,C07,C,51.1173896789551,17.0181274414062,2021-12-17 18:06:07
1001,8532,None,70310,703,51.0860481262207,17.070894241333,2021-12-17 18:06:17
1002,8528,None,13603,136,51.1299133300781,16.9837627410889,2021-12-17 18:06:09
1003,8539,None,K09,K,51.1505851745605,17.0431900024414,2021-12-17 18:06:19
1004,8527,None,12414,134,51.0948600769043,16.9804992675781,2021-12-17 18:06:17
1005,1905,None,00102,None,52.4617652893066,17.1730785369873,2021-10-22 16:11:39
1006,3302,None,01105,11,51.1288452148438,17.0562019348145,2021-12-17 18:06:11
1007,3301,None,02001,20,51.0839881896973,16.9722957611084,2021-12-17 18:05:58
1008,3303,None,00101,10,51.0989456176758,17.0266227722168,2021-12-17 07:54:17
